country,status,fuel,region,owner,year,capacity,id
country_97,status_0,fuel_3,region_2,owner_708,year_7,207.418,164
country_105,status_0,fuel_3,region_1,owner_48,year_16,0.881,165
country_31,status_0,fuel_0,region_0,owner_520,year_3,109.590,166
country_98,status_2,fuel_3,region_1,owner_262,year_5,1.823,167
country_6,status_0,fuel_3,region_3,owner_96,year_4,0.195,168
country_89,status_0,fuel_2,region_6,owner_57,year_2,234.790,169
country_56,status_1,fuel_10,region_0,owner_634,year_16,51.516,170
country_54,status_1,fuel_1,region_0,owner_981,year_14,2.012,171
country_74,status_0,fuel_4,region_1,owner_290,year_0,0.296,172
country_1,status_0,fuel_1,region_1,owner_429,year_19,0.177,173
country_2,status_0,fuel_4,region_0,owner_575,year_2,142.673,174
country_62,status_0,fuel_0,region_0,owner_310,year_0,0.370,175
country_114,status_2,fuel_6,region_2,owner_856,year_8,9.897,176
country_0,status_2,fuel_1,region_0,owner_1018,year_7,15.205,177
country_37,status_2,fuel_0,region_0,owner_909,year_10,0.468,178
country_46,status_1,fuel_0,region_3,owner_90,year_1,0.481,179
country_113,status_0,fuel_3,region_5,owner_466,year_8,8.474,180
country_61,status_0,fuel_2,region_1,owner_484,year_8,0.211,181
country_12,status_0,fuel_3,region_0,owner_1216,year_8,37.557,182
country_23,status_0,fuel_8,region_1,owner_326,year_2,30.952,183
country_14,status_1,fuel_0,region_1,owner_221,year_1,119.927,184
country_74,status_0,fuel_0,region_3,owner_99,year_24,13.316,185
country_57,status_2,fuel_3,region_3,owner_260,year_13,7.520,186
country_17,status_1,fuel_0,region_0,owner_1128,year_18,105.742,187
country_126,status_3,fuel_4,region_0,owner_1294,year_0,0.650,188
country_1,status_1,fuel_1,region_0,owner_96,year_16,0.118,189
country_2,status_1,fuel_3,region_2,owner_1112,year_6,0.335,190
country_11,status_0,fuel_2,region_3,owner_1654,year_2,0.116,191
country_115,status_0,fuel_4,region_0,owner_1008,year_2,0.680,192
country_57,status_0,fuel_0,region_3,owner_323,year_14,229.156,193
country_4,status_3,fuel_10,region_0,owner_209,year_3,0.903,194
country_117,status_1,fuel_4,region_1,owner_663,year_17,8.732,195
country_15,status_1,fuel_7,region_0,owner_339,year_2,17.134,196
country_79,status_2,fuel_3,region_0,owner_666,year_14,0.128,197
country_2,status_1,fuel_4,region_2,owner_888,year_21,20.717,198
country_66,status_0,fuel_1,region_1,owner_13,year_2,31.863,199
country_137,status_1,fuel_2,region_2,owner_54,year_6,0.959,200
country_93,status_5,fuel_1,region_0,owner_89,year_17,0.509,201
country_5,status_0,fuel_1,region_3,owner_540,year_13,40.499,202
country_74,status_0,fuel_6,region_1,owner_915,year_12,0.153,203
country_31,status_4,fuel_2,region_1,owner_325,year_22,0.341,204
country_6,status_3,fuel_3,region_2,owner_1337,year_7,0.720,205
country_79,status_0,fuel_0,region_0,owner_493,year_0,3.929,206
country_22,status_2,fuel_1,region_2,owner_112,year_8,12.266,207
country_96,status_3,fuel_4,region_5,owner_270,year_5,6.998,208
country_7,status_2,fuel_0,region_0,owner_151,year_6,4.277,209
country_111,status_4,fuel_0,region_4,owner_374,year_8,60.155,210
country_2,status_4,fuel_0,region_0,owner_928,year_3,3.348,211
country_46,status_0,fuel_0,region_0,owner_0,year_26,1.203,212
country_38,status_0,fuel_0,region_5,owner_961,year_27,0.952,213
country_78,status_3,fuel_6,region_0,owner_265,year_24,0.170,214
country_23,status_1,fuel_1,region_2,owner_276,year_4,1.568,215
country_19,status_1,fuel_9,region_5,owner_1177,year_7,0.129,216
country_14,status_0,fuel_5,region_0,owner_232,year_6,13.103,217
country_27,status_0,fuel_1,region_4,owner_1344,year_0,89.079,218
country_19,status_0,fuel_1,region_0,owner_14,year_0,10.055,219
country_63,status_0,fuel_5,region_0,owner_1351,year_12,0.312,220
country_65,status_0,fuel_2,region_0,owner_1093,year_18,115.185,221
country_31,status_5,fuel_2,region_0,owner_145,year_4,52.699,222
country_57,status_0,fuel_1,region_0,owner_607,year_0,0.113,223
country_21,status_4,fuel_1,region_0,owner_385,year_9,2.390,224
country_67,status_0,fuel_7,region_1,owner_881,year_0,84.442,225
country_24,status_2,fuel_4,region_0,owner_620,year_6,138.519,226
country_3,status_0,fuel_0,region_2,owner_76,year_16,0.495,227
country_62,status_0,fuel_10,region_2,owner_672,year_11,3.067,228
country_21,status_3,fuel_5,region_4,owner_253,year_9,3.412,229
country_4,status_2,fuel_0,region_6,owner_158,year_0,0.138,230
country_8,status_0,fuel_0,region_0,owner_193,year_3,0.396,231
country_137,status_0,fuel_5,region_0,owner_849,year_19,46.211,232
country_106,status_2,fuel_0,region_0,owner_1042,year_2,3.789,233
country_6,status_4,fuel_2,region_0,owner_645,year_4,7.931,234
country_52,status_0,fuel_0,region_3,owner_476,year_8,3.807,235
country_48,status_0,fuel_1,region_2,owner_556,year_10,82.990,236
country_52,status_0,fuel_9,region_4,owner_224,year_4,5.695,237
country_2,status_2,fuel_0,region_3,owner_49,year_3,2.865,238
country_0,status_2,fuel_0,region_3,owner_984,year_4,0.525,239
country_13,status_0,fuel_0,region_0,owner_408,year_4,11.799,240
country_135,status_3,fuel_0,region_0,owner_291,year_6,12.668,241
country_34,status_0,fuel_6,region_0,owner_398,year_3,15.993,242
country_83,status_1,fuel_9,region_5,owner_228,year_5,0.553,243
country_5,status_1,fuel_1,region_7,owner_296,year_19,5.789,244
country_43,status_2,fuel_5,region_1,owner_1202,year_17,3.733,245
country_70,status_2,fuel_1,region_0,owner_56,year_14,9.908,246
country_17,status_0,fuel_7,region_2,owner_328,year_1,88.608,247
country_112,status_0,fuel_1,region_1,owner_341,year_5,4.149,248
country_79,status_2,fuel_10,region_0,owner_423,year_12,5.770,249
country_1,status_0,fuel_8,region_1,owner_815,year_3,2.406,250
country_6,status_0,fuel_0,region_0,owner_17,year_7,111.431,251
country_66,status_0,fuel_6,region_0,owner_4,year_25,11.971,252
country_67,status_1,fuel_0,region_0,owner_236,year_17,0.349,253
country_113,status_0,fuel_4,region_4,owner_1369,year_22,0.137,254
country_192,status_0,fuel_4,region_0,owner_23,year_0,1.050,255
country_156,status_2,fuel_0,region_0,owner_55,year_17,58.660,256
country_155,status_0,fuel_2,region_1,owner_797,year_12,1.030,257
country_2,status_0,fuel_2,region_0,owner_462,year_16,1.011,258
country_6,status_2,fuel_0,region_2,owner_50,year_12,65.428,259
country_85,status_1,fuel_3,region_2,owner_395,year_11,0.818,260
country_105,status_0,fuel_2,region_2,owner_534,year_8,186.473,261
country_55,status_2,fuel_0,region_0,owner_217,year_2,159.040,262
country_83,status_0,fuel_2,region_0,owner_136,year_9,0.567,263
country_32,status_3,fuel_3,region_0,owner_114,year_23,67.069,264
country_11,status_2,fuel_2,region_6,owner_365,year_5,0.149,265
country_7,status_0,fuel_2,region_3,owner_275,year_3,3.333,266
country_6,status_0,fuel_0,region_3,owner_101,year_6,0.428,267
country_46,status_1,fuel_8,region_0,owner_448,year_5,1.180,268
country_123,status_3,fuel_0,region_1,owner_314,year_5,0.436,269
country_64,status_0,fuel_1,region_0,owner_35,year_0,0.261,270
country_2,status_1,fuel_4,region_5,owner_1603,year_10,40.397,271
country_119,status_3,fuel_2,region_2,owner_1327,year_13,0.302,272
country_30,status_0,fuel_3,region_3,owner_228,year_0,4.506,273
country_83,status_2,fuel_0,region_0,owner_144,year_3,0.586,274
country_64,status_2,fuel_2,region_4,owner_31,year_19,164.519,275
country_39,status_3,fuel_0,region_0,owner_191,year_24,8.581,276
country_49,status_1,fuel_2,region_2,owner_848,year_1,4.963,277
country_34,status_0,fuel_4,region_1,owner_91,year_0,0.695,278
country_8,status_0,fuel_0,region_1,owner_208,year_6,5.534,279
country_102,status_0,fuel_1,region_1,owner_1595,year_0,37.767,280
country_51,status_2,fuel_0,region_3,owner_875,year_0,14.783,281
country_65,status_1,fuel_0,region_3,owner_2,year_0,0.146,282
country_19,status_1,fuel_5,region_1,owner_192,year_3,0.279,283
country_35,status_1,fuel_1,region_0,owner_1479,year_21,68.213,284
country_96,status_2,fuel_2,region_3,owner_282,year_1,8.656,285
country_61,status_0,fuel_4,region_2,owner_12,year_8,35.068,286
country_112,status_1,fuel_0,region_3,owner_618,year_1,1.136,287
country_0,status_0,fuel_0,region_3,owner_373,year_20,4.934,288
country_1,status_0,fuel_1,region_1,owner_532,year_0,13.724,289
country_0,status_1,fuel_0,region_1,owner_479,year_0,5.660,290
country_3,status_1,fuel_0,region_3,owner_17,year_16,1.351,291
country_8,status_1,fuel_8,region_0,owner_338,year_5,0.596,292
country_0,status_3,fuel_0,region_1,owner_323,year_2,0.391,293
country_67,status_1,fuel_7,region_1,owner_1313,year_8,14.098,294
country_13,status_3,fuel_0,region_1,owner_628,year_4,9.458,295
country_96,status_3,fuel_5,region_1,owner_606,year_8,296.146,296
country_6,status_0,fuel_1,region_0,owner_786,year_3,0.124,297
country_100,status_0,fuel_0,region_0,owner_218,year_0,93.222,298
country_48,status_4,fuel_3,region_0,owner_357,year_6,10.740,299
country_48,status_2,fuel_4,region_0,owner_260,year_8,2.878,300
country_22,status_2,fuel_2,region_0,owner_45,year_3,9.687,301
country_19,status_1,fuel_3,region_0,owner_1651,year_6,10.101,302
country_41,status_0,fuel_7,region_2,owner_161,year_8,3.947,303
country_174,status_1,fuel_6,region_0,owner_617,year_0,8.754,304
country_51,status_3,fuel_1,region_0,owner_30,year_4,1.111,305
country_45,status_0,fuel_3,region_2,owner_356,year_3,0.147,306
country_174,status_0,fuel_5,region_0,owner_249,year_4,2.190,307
country_47,status_4,fuel_8,region_3,owner_344,year_0,0.988,308
country_92,status_0,fuel_0,region_5,owner_377,year_19,1.322,309
country_42,status_1,fuel_3,region_1,owner_366,year_2,1.621,310
country_9,status_1,fuel_3,region_0,owner_172,year_0,0.113,311
country_99,status_2,fuel_0,region_2,owner_45,year_8,9.272,312
country_4,status_0,fuel_0,region_2,owner_294,year_22,0.272,313
country_78,status_0,fuel_8,region_7,owner_84,year_2,7.104,314
country_49,status_0,fuel_2,region_0,owner_270,year_15,3.708,315
country_43,status_1,fuel_1,region_0,owner_806,year_27,54.582,316
country_57,status_0,fuel_0,region_1,owner_570,year_7,81.581,317
country_39,status_1,fuel_1,region_1,owner_230,year_6,15.439,318
country_12,status_0,fuel_0,region_1,owner_580,year_0,174.669,319
country_118,status_1,fuel_4,region_1,owner_1198,year_5,21.201,320
country_32,status_1,fuel_1,region_1,owner_884,year_0,0.831,321
country_32,status_1,fuel_0,region_0,owner_153,year_0,1.095,322
country_20,status_0,fuel_1,region_6,owner_163,year_6,197.273,323
country_118,status_2,fuel_7,region_0,owner_306,year_0,8.900,324
country_96,status_0,fuel_1,region_2,owner_64,year_24,0.229,325
country_100,status_0,fuel_0,region_2,owner_1110,year_16,96.278,326
country_55,status_0,fuel_2,region_2,owner_161,year_17,8.731,327
country_53,status_0,fuel_0,region_2,owner_350,year_5,0.150,328
country_82,status_1,fuel_4,region_2,owner_9,year_14,7.831,329
country_14,status_0,fuel_2,region_0,owner_225,year_0,1.581,330
country_0,status_2,fuel_2,region_6,owner_290,year_5,133.909,331
country_24,status_0,fuel_8,region_0,owner_1234,year_3,10.894,332
country_0,status_0,fuel_1,region_0,owner_602,year_6,19.787,333
country_36,status_2,fuel_0,region_1,owner_89,year_1,77.663,334
country_3,status_3,fuel_4,region_1,owner_511,year_5,120.922,335
country_19,status_1,fuel_10,region_0,owner_481,year_0,1.429,336
country_30,status_2,fuel_4,region_3,owner_214,year_13,45.955,337
country_34,status_1,fuel_6,region_2,owner_42,year_6,0.206,338
country_23,status_0,fuel_2,region_1,owner_589,year_4,0.496,339
country_57,status_0,fuel_6,region_0,owner_125,year_0,0.114,340
country_13,status_4,fuel_2,region_2,owner_258,year_6,44.542,341
country_13,status_2,fuel_3,region_4,owner_97,year_0,133.862,342
country_151,status_1,fuel_1,region_0,owner_300,year_0,144.942,343
country_88,status_0,fuel_4,region_2,owner_205,year_6,1.358,344
country_23,status_0,fuel_4,region_0,owner_372,year_2,0.182,345
country_92,status_0,fuel_0,region_3,owner_1,year_2,0.254,346
country_76,status_2,fuel_0,region_2,owner_1746,year_7,179.284,347
country_12,status_1,fuel_4,region_1,owner_704,year_6,16.757,348
country_103,status_1,fuel_6,region_1,owner_1198,year_20,218.446,349
country_1,status_1,fuel_5,region_0,owner_735,year_5,4.431,350
country_16,status_1,fuel_0,region_0,owner_125,year_3,0.354,351
country_55,status_0,fuel_2,region_1,owner_432,year_5,135.854,352
country_116,status_3,fuel_6,region_1,owner_485,year_13,16.345,353
country_70,status_2,fuel_2,region_0,owner_1333,year_3,1.746,354
country_94,status_2,fuel_0,region_3,owner_238,year_8,74.154,355
country_15,status_0,fuel_1,region_2,owner_457,year_0,133.756,356
country_41,status_1,fuel_3,region_0,owner_1,year_2,3.953,357
country_54,status_1,fuel_0,region_0,owner_977,year_10,67.633,358
country_47,status_1,fuel_5,region_0,owner_58,year_7,19.730,359
country_24,status_0,fuel_7,region_2,owner_519,year_20,0.173,360
country_43,status_0,fuel_0,region_0,owner_147,year_5,297.121,361
country_153,status_2,fuel_0,region_1,owner_481,year_1,257.602,362
country_28,status_1,fuel_4,region_5,owner_27,year_15,0.393,363
country_50,status_0,fuel_1,region_0,owner_261,year_0,0.449,364
country_83,status_0,fuel_0,region_0,owner_65,year_16,0.120,365
country_81,status_0,fuel_3,region_1,owner_178,year_9,2.623,366
country_19,status_0,fuel_3,region_2,owner_416,year_11,0.819,367
country_1,status_4,fuel_3,region_3,owner_405,year_20,9.823,368
country_1,status_2,fuel_3,region_2,owner_707,year_3,0.169,369
country_51,status_3,fuel_3,region_3,owner_229,year_11,91.094,370
country_47,status_0,fuel_2,region_2,owner_86,year_3,13.248,371
country_75,status_2,fuel_8,region_0,owner_439,year_0,30.497,372
country_63,status_3,fuel_0,region_1,owner_672,year_4,0.202,373
country_52,status_1,fuel_9,region_3,owner_363,year_9,49.820,374
country_34,status_2,fuel_9,region_1,owner_126,year_8,202.015,375
country_5,status_0,fuel_0,region_0,owner_76,year_11,8.554,376
country_63,status_2,fuel_0,region_3,owner_435,year_7,0.295,377
country_22,status_0,fuel_0,region_0,owner_1588,year_3,7.048,378
country_6,status_0,fuel_2,region_5,owner_484,year_3,256.902,379
country_7,status_1,fuel_1,region_0,owner_142,year_0,2.454,380
country_108,status_0,fuel_0,region_0,owner_1003,year_1,0.882,381
country_31,status_2,fuel_3,region_0,owner_1203,year_0,2.884,382
country_42,status_0,fuel_4,region_3,owner_434,year_0,7.690,383
country_37,status_1,fuel_3,region_0,owner_1163,year_25,6.262,384
country_1,status_0,fuel_0,region_1,owner_174,year_2,40.652,385
country_4,status_0,fuel_1,region_0,owner_445,year_25,53.219,386
country_38,status_1,fuel_2,region_5,owner_1011,year_6,0.686,387
country_3,status_1,fuel_2,region_4,owner_52,year_11,5.870,388
country_35,status_0,fuel_0,region_4,owner_619,year_1,5.888,389
country_4,status_0,fuel_2,region_1,owner_411,year_4,0.371,390
country_109,status_0,fuel_1,region_1,owner_74,year_0,0.346,391
country_166,status_2,fuel_1,region_0,owner_1582,year_17,105.924,392
country_43,status_3,fuel_1,region_2,owner_397,year_15,0.579,393
country_71,status_3,fuel_0,region_5,owner_842,year_6,1.087,394
country_34,status_1,fuel_3,region_4,owner_420,year_16,47.089,395
country_0,status_3,fuel_3,region_0,owner_1782,year_5,2.273,396
country_169,status_1,fuel_4,region_1,owner_29,year_12,121.320,397
country_6,status_0,fuel_4,region_0,owner_78,year_1,73.810,398
country_2,status_0,fuel_0,region_0,owner_230,year_2,2.933,399
country_85,status_0,fuel_6,region_1,owner_247,year_0,1.438,400
country_11,status_1,fuel_0,region_4,owner_68,year_2,4.685,401
country_109,status_3,fuel_2,region_1,owner_673,year_3,21.327,402
country_2,status_2,fuel_6,region_0,owner_107,year_0,0.126,403
country_23,status_0,fuel_7,region_0,owner_8,year_12,93.179,404
country_5,status_1,fuel_3,region_0,owner_803,year_4,188.244,405
country_49,status_2,fuel_3,region_0,owner_432,year_2,31.302,406
country_110,status_0,fuel_2,region_1,owner_188,year_29,1.442,407
country_1,status_1,fuel_0,region_0,owner_939,year_6,1.113,408
country_6,status_0,fuel_8,region_0,owner_671,year_15,128.891,409
country_62,status_2,fuel_2,region_0,owner_231,year_0,0.172,410
country_180,status_1,fuel_5,region_4,owner_96,year_11,3.103,411
country_22,status_0,fuel_8,region_3,owner_217,year_8,3.735,412
country_20,status_3,fuel_1,region_0,owner_1,year_1,1.257,413
country_8,status_2,fuel_1,region_0,owner_376,year_16,0.327,414
country_65,status_1,fuel_0,region_0,owner_158,year_5,170.282,415
country_77,status_0,fuel_1,region_1,owner_131,year_1,191.071,416
country_11,status_0,fuel_7,region_3,owner_489,year_2,78.121,417
country_85,status_0,fuel_2,region_0,owner_1074,year_8,29.288,418
country_67,status_0,fuel_1,region_0,owner_303,year_1,1.782,419
